Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Vision_Score,Defensive_Vulnerability,Defensive_Rating_100
Home,SET PIECE,THROW IN,1,4386,175.44,4386,175.44,Player1,,,,,,0.0,True,0.0
Home,PASS,,1,4386,175.44,4445,177.8,Player1,Player10,0.49,1.01,0.55,0.84,3.4912030990457925,True,0.07306959481145907
Home,BALL LOST,,1,4445,177.8,4453,178.12,Player10,,0.55,0.84,0.57,0.78,,False,
Away,RECOVERY,,1,4452,178.08,4452,178.08,Player19,,0.56,0.82,,,3389.2894710000537,False,70.9365801182998
Away,BALL LOST,INTERCEPTION,1,4489,179.56,4518,180.72,Player19,,0.54,0.87,0.48,0.85,,False,
Home,RECOVERY,INTERCEPTION,1,4516,180.64,4516,180.64,Player1,,0.5,0.87,,,3389.220007378031,False,70.93512627027911
Home,BALL LOST,INTERCEPTION,1,4620,184.8,4679,187.16,Player1,,0.37,0.97,0.65,0.92,2669.2021056898325,True,55.86541682033812
Away,RECOVERY,INTERCEPTION,1,4679,187.16,4679,187.16,Player17,,0.62,0.92,,,3389.246974133122,False,70.93569067452945
Away,BALL LOST,INTERCEPTION,1,4709,188.36,4749,189.96,Player17,,0.6,0.95,0.36,0.78,,False,
Home,RECOVERY,INTERCEPTION,1,4751,190.04,4751,190.04,Player7,,0.39,0.78,,,3389.235313614004,False,70.93544662415968
Home,BALL OUT,,1,4751,190.04,4836,193.44,Player7,,0.39,0.78,0.67,1.03,4646.270942716448,False,97.24473928810916
Away,SET PIECE,THROW IN,1,5057,202.28,5057,202.28,Player22,,,,,,0.0,True,0.0
Away,PASS,,1,5057,202.28,5081,203.24,Player22,Player19,0.58,1.01,0.57,0.89,1.386002025034572,True,0.029008511823565366
Away,BALL LOST,INTERCEPTION,1,5081,203.24,5150,206.0,Player19,,0.57,0.89,0.25,0.84,,False,
Home,RECOVERY,INTERCEPTION,1,5149,205.96,5149,205.96,Player2,,0.24,0.82,,,3389.180986405213,False,70.93430957569215
Home,PASS,,1,5149,205.96,5202,208.08,Player2,Player1,0.24,0.82,0.32,0.89,4717.440571394604,False,98.7342933996463
Home,BALL LOST,INTERCEPTION,1,5202,208.08,5228,209.12,Player1,,0.32,0.89,0.33,0.84,,False,
Home,CHALLENGE,GROUND-LOST,1,5228,209.12,5228,209.12,Player6,,0.36,0.82,,,3389.2387874979104,False,70.93551933127017
Away,CHALLENGE,GROUND-WON,1,5228,209.12,5228,209.12,Player19,,0.36,0.83,,,3389.2150757494933,False,70.93502305311048
Away,RECOVERY,INTERCEPTION,1,5228,209.12,5228,209.12,Player19,,0.36,0.83,,,3389.2150757494933,False,70.93502305311048
Away,BALL LOST,,1,5228,209.12,5263,210.52,Player19,,0.36,0.83,0.28,0.83,,False,
Home,RECOVERY,INTERCEPTION,1,5263,210.52,5263,210.52,Player1,,0.29,0.85,,,3389.1719105346288,False,70.9341196210641
Home,BALL LOST,INTERCEPTION,1,5316,212.64,5384,215.36,Player1,,0.26,0.96,0.64,0.88,2558.4119038481117,True,53.54661870748502
Away,RECOVERY,INTERCEPTION,1,5385,215.4,5385,215.4,Player17,,0.59,0.89,,,3389.2606425874387,False,70.93597675024326
Away,PASS,HEAD,1,5385,215.4,5412,216.48,Player17,Player20,0.59,0.89,0.54,0.85,,False,
Away,PASS,,1,5431,217.24,5471,218.84,Player20,Player18,0.55,0.83,0.45,0.5,,False,
Away,BALL LOST,,1,5507,220.28,5517,220.68,Player18,,0.38,0.47,0.28,0.41,,False,
Home,RECOVERY,,1,5520,220.8,5520,220.8,Player4,,0.3,0.43,,,3389.52358300402,False,70.94147999630317
Home,BALL LOST,INTERCEPTION,1,5520,220.8,5550,222.0,Player4,,0.3,0.43,0.28,0.52,1253.7937965943347,True,26.241442303745877
Away,RECOVERY,INTERCEPTION,1,5549,221.96,5549,221.96,Player18,,0.29,0.49,,,3389.4783555879017,False,70.94053340314419
Home,CHALLENGE,TACKLE-WON,1,5627,225.08,5627,225.08,Player1,,0.14,0.6,,,3389.30929458731,False,70.93699501867867
Home,RECOVERY,THEFT,1,5627,225.08,5627,225.08,Player1,,0.14,0.6,,,3389.30929458731,False,70.93699501867867
Home,PASS,,1,5627,225.08,5663,226.52,Player1,Player2,0.14,0.6,0.18,0.53,,False,
Away,CHALLENGE,TACKLE-LOST,1,5628,225.12,5628,225.12,Player18,,0.15,0.56,,,3389.3603687526424,False,70.93806398214493
Away,BALL LOST,THEFT,1,5628,225.12,5628,225.12,Player18,,0.15,0.56,,,3389.3603687526424,False,70.93806398214493
Home,PASS,,1,5663,226.52,5685,227.4,Player2,Player8,0.18,0.53,0.24,0.4,,False,
Home,PASS,,1,5761,230.44,5809,232.36,Player8,Player10,0.39,0.29,0.6,0.09,1004.3333304976522,True,21.020326641885834
